Spółka,Ilość,Kurs (PLN),Wycena (PLN),Udział (%)
KRUK,109,435.70,47491.30,35.79
LPP,2,20800.00,41600.00,31.35
GRODNO,480,15.40,7392.00,5.57
RYVU,284,18.10,5140.40,3.87
SYNEKTIK,14,355.60,4978.40,3.75
MODIVO,45,90.56,4075.20,3.07
NEWAG,42,93.10,3910.20,2.95
GPW,39,99.50,3880.50,2.92
SEKO,221,12.65,2795.65,2.11
DOMDEV,10,251.00,2510.00,1.89
XTB,14,168.30,2356.20,1.78
ETFBW20TR,21,82.32,1728.72,1.30
SYN2BIO,25,62.20,1555.00,1.17
KOLEJKOWO,28,55.50,1554.00,1.17
DEKPOL,12,72.00,864.00,0.65
ETFBSPXPL,5,132.60,663.00,0.50
PKOBP,1,113.96,113.96,0.09
LUBAWA,4,11.94,47.76,0.04
PKPCARGO,1,10.07,10.07,0.01
ZREMB,1,8.95,8.95,0.01
KLEPSYDRA,1,7.04,7.04,0.01
RANKPROGR,1,4.835,4.84,0.00
STAPORKOW,1,4.50,4.50,0.00
GETIN,1,0.365,0.37,0.00
